| Idx | Short Name                                         | Start (ns)       | End (ns)         | Duration (ns) | Stream | Category        | Grid       | Block      | Regs/Thr | ShMem (B) | Comm Algorithm              | Comm Size Hint                    | Xfer Bytes | Xfer Kind | Full Name                                                                                                                                                                                                |
| 513 | triton_poi_fused_mul_silu_slice_0                  | 3519584434346948 | 3519584434349124 | 2176          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 514 | void at::native::vectorized_elementwise_kernel<... | 3519584434349603 | 3519584434350660 | 1057          | 5644   | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 515 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 3519584434350403 | 3519584434359875 | 9472          | 23     | compute_kernel  | (4,8,1)    | (512,1,1)  | 128      | 202240    |                             |                                   |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                                 |
| 516 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584434351203 | 3519584434352675 | 1472          | 5644   | compute_kernel  | (128,1,1)  | (32,1,1)   | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 517 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584434352899 | 3519584434358083 | 5184          | 5644   | compute_kernel  | (2,56,1)   | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 518 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 3519584434356163 | 3519584434363651 | 7488          | 23     | compute_kernel  | (56,8,1)   | (512,1,1)  | 128      | 124752    |                             |                                   |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 519 | void moe::dev::finalize::finalizeKernel<moe::de... | 3519584434362180 | 3519584434365891 | 3711          | 23     | compute_kernel  | (28,1,1)   | (256,1,1)  | 32       | 0         |                             |                                   |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
| 520 | triton_poi_fused_add_mul_0                         | 3519584434366212 | 3519584434367683 | 1471          | 23     | compute_kernel  | (7,1,1)    | (128,1,1)  | 26       | 0         |                             |                                   |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 521 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584434367683 | 3519584434376899 | 9216          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 522 | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584434377219 | 3519584434384675 | 7456          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 523 | triton_poi_fused_1                                 | 3519584434385123 | 3519584434387076 | 1953          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 524 | triton_red_fused_2                                 | 3519584434387396 | 3519584434389955 | 2559          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 525 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584434389955 | 3519584434395780 | 5825          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 526 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584434396100 | 3519584434398148 | 2048          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 527 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584434398468 | 3519584434400707 | 2239          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 528 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584434400772 | 3519584434403716 | 2944          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 529 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584434404068 | 3519584434405892 | 1824          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 530 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584434405955 | 3519584434415364 | 9409          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 531 | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 3519584434414979 | 3519584434418467 | 3488          | 23     | compute_kernel  | (128,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 532 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 3519584434417412 | 3519584434422756 | 5344          | 23     | compute_kernel  | (112,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 533 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584434420931 | 3519584434428004 | 7073          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 534 | void router_gemm_kernel_float_output<__nv_bfloa... | 3519584434428740 | 3519584434431811 | 3071          | 23     | compute_kernel  | (384,1,1)  | (128,1,1)  | 64       | 16        |                             |                                   |            |           | void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, 1, 384, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)                                                                            |
| 535 | void at::native::vectorized_elementwise_kernel<... | 3519584434429027 | 3519584434430372 | 1345          | 5644   | compute_kernel  | (14,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 536 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584434431011 | 3519584434433124 | 2113          | 5644   | compute_kernel  | (128,2,1)  | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 537 | void at::native::vectorized_elementwise_kernel<... | 3519584434432291 | 3519584434434372 | 2081          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)                  |
| 538 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584434433219 | 3519584434442788 | 9569          | 5644   | compute_kernel  | (2,4,1)    | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 539 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... | 3519584434434820 | 3519584434437060 | 2240          | 23     | compute_kernel  | (1,2,1)    | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                          |
| 540 | void at::native::vectorized_elementwise_kernel<... | 3519584434437540 | 3519584434439172 | 1632          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 32       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
| 541 | void moe::dev::routing::routingCustom::routingI... | 3519584434439299 | 3519584434446435 | 7136          | 23     | compute_kernel  | (1,1,1)    | (384,1,1)  | 40       | 4768      |                             |                                   |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::... |
| 542 | triton_poi_fused_mul_silu_slice_0                  | 3519584434443268 | 3519584434445379 | 2111          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 543 | void at::native::vectorized_elementwise_kernel<... | 3519584434445827 | 3519584434447172 | 1345          | 5644   | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 544 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 3519584434446692 | 3519584434456292 | 9600          | 23     | compute_kernel  | (4,8,1)    | (512,1,1)  | 128      | 202240    |                             |                                   |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                                 |
| 545 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584434447748 | 3519584434449348 | 1600          | 5644   | compute_kernel  | (128,1,1)  | (32,1,1)   | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 546 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584434449571 | 3519584434455011 | 5440          | 5644   | compute_kernel  | (2,56,1)   | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 547 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 3519584434452548 | 3519584434459940 | 7392          | 23     | compute_kernel  | (56,8,1)   | (512,1,1)  | 128      | 124752    |                             |                                   |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 548 | void moe::dev::finalize::finalizeKernel<moe::de... | 3519584434458692 | 3519584434462467 | 3775          | 23     | compute_kernel  | (28,1,1)   | (256,1,1)  | 32       | 0         |                             |                                   |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
| 549 | triton_poi_fused_add_mul_0                         | 3519584434462820 | 3519584434464355 | 1535          | 23     | compute_kernel  | (7,1,1)    | (128,1,1)  | 26       | 0         |                             |                                   |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 550 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584434464355 | 3519584434473347 | 8992          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 551 | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584434473667 | 3519584434481348 | 7681          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 552 | triton_poi_fused_1                                 | 3519584434481668 | 3519584434483396 | 1728          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 553 | triton_red_fused_2                                 | 3519584434483716 | 3519584434486244 | 2528          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 554 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584434486244 | 3519584434492292 | 6048          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 555 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584434492484 | 3519584434494660 | 2176          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 556 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584434495076 | 3519584434497188 | 2112          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 557 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584434497188 | 3519584434500164 | 2976          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 558 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584434500484 | 3519584434502372 | 1888          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 559 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584434502372 | 3519584434512004 | 9632          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 560 | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 3519584434511908 | 3519584434515652 | 3744          | 23     | compute_kernel  | (128,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 561 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 3519584434514500 | 3519584434520036 | 5536          | 23     | compute_kernel  | (112,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 562 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584434518052 | 3519584434525188 | 7136          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 563 | void router_gemm_kernel_float_output<__nv_bfloa... | 3519584434525636 | 3519584434528740 | 3104          | 23     | compute_kernel  | (384,1,1)  | (128,1,1)  | 64       | 16        |                             |                                   |            |           | void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, 1, 384, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)                                                                            |
| 564 | void at::native::vectorized_elementwise_kernel<... | 3519584434525924 | 3519584434527108 | 1184          | 5644   | compute_kernel  | (14,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 565 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584434527588 | 3519584434529476 | 1888          | 5644   | compute_kernel  | (128,2,1)  | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 566 | void at::native::vectorized_elementwise_kernel<... | 3519584434529060 | 3519584434530916 | 1856          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)                  |
| 567 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584434530052 | 3519584434539460 | 9408          | 5644   | compute_kernel  | (2,4,1)    | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 568 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... | 3519584434531396 | 3519584434533796 | 2400          | 23     | compute_kernel  | (1,2,1)    | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                          |
| 569 | void at::native::vectorized_elementwise_kernel<... | 3519584434534244 | 3519584434536068 | 1824          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 32       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
| 570 | void moe::dev::routing::routingCustom::routingI... | 3519584434536196 | 3519584434543684 | 7488          | 23     | compute_kernel  | (1,1,1)    | (384,1,1)  | 40       | 4768      |                             |                                   |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::... |
| 571 | triton_poi_fused_mul_silu_slice_0                  | 3519584434539908 | 3519584434541892 | 1984          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 572 | void at::native::vectorized_elementwise_kernel<... | 3519584434542340 | 3519584434543684 | 1344          | 5644   | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 573 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 3519584434543332 | 3519584434553124 | 9792          | 23     | compute_kernel  | (4,8,1)    | (512,1,1)  | 128      | 202240    |                             |                                   |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                                 |
| 574 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584434544292 | 3519584434545668 | 1376          | 5644   | compute_kernel  | (128,1,1)  | (32,1,1)   | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 575 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584434545860 | 3519584434550980 | 5120          | 5644   | compute_kernel  | (2,56,1)   | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 576 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 3519584434549028 | 3519584434556740 | 7712          | 23     | compute_kernel  | (56,8,1)   | (512,1,1)  | 128      | 124752    |                             |                                   |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 577 | void moe::dev::finalize::finalizeKernel<moe::de... | 3519584434555364 | 3519584434559556 | 4192          | 23     | compute_kernel  | (28,1,1)   | (256,1,1)  | 32       | 0         |                             |                                   |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
| 578 | triton_poi_fused_add_mul_0                         | 3519584434559716 | 3519584434561092 | 1376          | 23     | compute_kernel  | (7,1,1)    | (128,1,1)  | 26       | 0         |                             |                                   |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 579 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584434561092 | 3519584434570180 | 9088          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 580 | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584434570500 | 3519584434578116 | 7616          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 581 | triton_poi_fused_1                                 | 3519584434578404 | 3519584434580228 | 1824          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 582 | triton_red_fused_2                                 | 3519584434580548 | 3519584434582916 | 2368          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 583 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584434582916 | 3519584434588644 | 5728          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 584 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584434588964 | 3519584434590852 | 1888          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 585 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584434591172 | 3519584434592964 | 1792          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 586 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584434593124 | 3519584434595940 | 2816          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 587 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584434596548 | 3519584434598436 | 1888          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
